severity,source_file,company,metric,period,detail
info,Portfolio_Snapshot_Q2_2025.pdf,TalentVault,gross_margin,Q2 2025,snapshot and standalone report agree
info,Portfolio_Snapshot_Q2_2025.pdf,TalentVault,net_revenue_retention,Q2 2025,snapshot and standalone report agree
info,Portfolio_Snapshot_Q2_2025.pdf,TalentVault,revenue,Q2 2025,snapshot and standalone report agree
info,TalentVault_Q2_2025.pdf,TalentVault,,Q2 2025,"verbatim_label 'Two large ATS vendors' found, but not on recorded page 1"
warning,ApexFreight_Q2_2025.pdf,ApexFreight,revenue,Q2 2025,"conflicting labels mapped to same canonical metric in one document: {'Recognized Revenue (transaction)': '8.6M', 'Total Recognized Revenue': '9.3M'}"
warning,CarbonTrack_Q2_2025.pdf,CarbonTrack,,Q2 2025,value '+ $0.2M' not found in source text (unverified)
warning,CarbonTrack_Q2_2025.pdf,CarbonTrack,net_burn,Q2 2025,"snapshot vs standalone disagree: {'snapshot': '($0.68M)', 'standalone': '($0.55M)'}"
warning,FleetLink_Q4_2024.pdf,ApexFreight,revenue,Q4 2024,currency undetermined for monetary value '9.0M'
warning,LendBridge_Q2_2024.pdf,LendBridge,,Q2 2024,value '+${0.4}M' not found in source text (unverified)
warning,MediSight_Q1_2025.pdf,MediSight,revenue,Q1 2025,currency undetermined for monetary value '6.3M'
warning,MediSight_Q1_2025.pdf,MediSight,arr,Q1 2025,currency undetermined for monetary value '26.1M'
warning,MediSight_Q2_2025.pdf,MediSight,revenue,Q2 2025,currency undetermined for monetary value '6.8M'
warning,MediSight_Q2_2025.pdf,MediSight,arr,Q2 2025,currency undetermined for monetary value '27.9M'
warning,MediSight_Q4_2024.pdf,MediSight,revenue,Q4 2024,currency undetermined for monetary value '6.1M'
warning,MediSight_Q4_2024.pdf,MediSight,arr,Q4 2024,currency undetermined for monetary value '24.5M'
